user,trd_times,total_count,B_out,C_in,out_count,in_count,cny_trx_amt,Dat_Flg3_Cd,Trx_Cod1_Cd,is_in_first_10days,is_in_middle_10days,is_in_last_10days
UBD9C48,5836,2173.6900000000783,5693,143,962039.7700000006,964213.46,20928.34,A,1,1814,1704,2318
U8AE05B,2589,-19.039999999860807,1232,1357,3354162.49,3354143.4500000007,36000.0,A,2,1330,523,736
U0015B2,2490,-13241.21000000004,1535,955,1966131.73,1952890.5200000019,15452.0,A,1,710,889,891
U9E0C0D,2392,4145.880000000037,1117,1275,3940858.61,3945004.490000002,27149.85,A,2,1114,561,717
U7EF7EC,2237,-1990.9900000000284,2063,174,342173.6300000002,340182.64000000013,25000.0,A,1,1113,811,313
UFAA278,2230,1937.8599999994601,2082,148,199587.6199999978,201525.47999999984,20087.3,A,1,840,396,994
U6A0213,2214,-314.8300000000745,2056,158,3228379.9,3228065.0700000008,50000.0,A,1,473,673,1068
UA4826C,2124,14680.94999999968,1064,1060,3223304.4,3237985.350000001,50000.0,A,1,1017,495,612
UB00ED6,1774,-0.6799999999275315,166,1608,1964195.07,1964194.39,40000.0,A,2,113,935,726
UDC645C,1483,-49535.32000000008,1279,204,2387598.31,2338062.99,70000.0,A,1,487,473,523
UF928E7,1436,2669.6699999999983,1102,334,108744.54,111414.20999999998,5500.0,A,1,547,438,451
UA61CDE,1290,-40113.47999999993,484,806,38514018.84000001,38473905.35999998,1050000.0,A,3,430,385,475
UCA37FC,1281,-38526.980000001415,1093,188,2247169.0299999714,2208642.0500000003,40499.5,A,1,424,424,433
UFC5A9E,1278,-298.69999999998765,877,401,268272.67000000016,267973.96999999986,19210.55,A,1,375,407,496
UD81BAF,1254,1425.6499999999942,996,258,1246544.54,1247970.1900000002,50000.0,A,1,428,420,406
U2C29AB,1233,90.70000000000002,844,389,55036.81999999999,55127.520000000186,2597.4,A,1,358,482,393
U6F9FC3,1229,-191825.12,1208,21,986143.2699999998,794318.15,98867.0,A,1,343,443,443
U8003E5,1204,30992.43000000014,912,292,1342548.2800000007,1373540.71,46000.0,A,1,462,421,321
U36764F,1119,34465.12000000012,667,452,1307329.9300000016,1341795.0500000005,26236.0,A,1,372,368,379
U2CAF13,1056,-26961.79999999998,609,447,5538953.619999998,5511991.82,90000.0,A,1,367,348,341
U5E965A,1046,22508.75000000073,332,714,6970409.1099999985,6992917.859999998,378481.0,A,2,357,357,332
U777D63,1001,-573.6800000001058,316,685,2051772.11,2051198.43,41773.2,A,2,472,236,293
UC466B9,970,-4909.839999999994,477,493,363432.17,358522.33000000025,20033.33,A,2,592,217,161
U48FD8D,940,-232.65999999999627,464,476,145032.67,144800.01,5000.0,A,1,376,313,251
U80FB6E,915,59836.29999999999,776,139,2842512.9599999995,2902349.26,300000.0,A,1,194,359,362
U467232,911,84.90999999996757,489,422,803554.3599999999,803639.2700000005,26000.0,A,2,414,243,254
U781BBD,852,1125.7299999999395,710,142,1801424.07,1802549.800000001,49960.0,A,1,296,277,279
UF9D520,835,-341.8100000000213,455,380,796528.8999999998,796187.0899999997,8208.61,A,3,251,212,372
UDDA890,830,-30154.37999999996,157,673,722243.39,692089.0100000001,31000.0,A,2,320,282,228
U450AB6,820,27885.700000000008,712,108,1479621.2899999996,1507506.9899999998,200000.0,A,1,228,277,315
U9E6593,806,-1696.4100000000126,780,26,865513.2100000002,863816.8000000002,80000.0,A,1,78,198,530
UB99765,790,208.2400000000009,548,242,86739.71000000004,86947.94999999994,4075.0,A,1,275,116,399
U975927,780,-33362.86000000014,500,280,1604301.5000000002,1570938.64,88000.0,A,1,180,349,251
U3C95E8,775,-4847.029999999912,521,254,10586277.65,10581430.62,200000.0,A,1,321,192,262
U0E46DF,760,25940.280000000028,617,143,2511915.75,2537856.03,90000.0,A,1,224,249,287
UE86177,759,-17241.310000000234,240,519,693982.0400000004,676740.7299999982,50000.0,A,2,363,193,203
U9E2913,755,14232.300000000005,725,30,223705.73,237938.03,15000.0,A,1,295,226,234
U6A8665,754,-140.0000000000589,526,228,1511725.9499999988,1511585.9499999997,100000.0,A,1,263,264,227
U4AF6E0,743,4131.630000000019,574,169,1392729.8299999991,1396861.460000001,49710.0,A,1,253,251,239
UF69426,730,-273.7499999999957,446,284,83238.42,82964.67000000004,4001.0,A,1,209,270,251
U2F0C0E,724,-44782.01,454,270,1750103.54,1705321.5299999998,50000.0,A,1,213,277,234
U0F0DB9,707,2127.769999999997,270,437,1014714.8199999998,1016842.5899999995,25000.0,A,2,224,282,201
U8A63AF,707,-1820.480000000015,539,168,1240998.7300000011,1239178.2500000002,100000.0,A,1,249,242,216
U2F6483,703,-14059.42999999995,451,252,1849053.54,1834994.11,500000.0,A,1,182,227,294
U82A7C9,694,7837.620000000038,374,320,1293186.63,1301024.25,17275.72,A,2,322,151,221
U74D259,690,26628.38999999998,494,196,245439.77999999985,272068.17,23819.69,A,1,185,237,268
UABB75C,688,41553.239999999954,379,309,1141181.8799999994,1182735.1199999996,26000.0,A,1,246,226,216
U31CB74,678,97439.79000000015,477,201,2649756.16,2747195.95,57691.37,A,1,166,217,295
U63A95C,676,-8244.040000000008,615,61,73393.0100000001,65148.97,6640.0,A,1,294,216,166
UE76E4E,659,2433909.0400000014,181,478,4627824.970000002,7061734.0100000035,456900.0,A,2,270,190,199
UF68F85,643,3198.070000000024,109,534,47461.24999999999,50659.31999999991,10761.66,A,2,139,283,221
U2756ED,641,401.6600000000028,389,252,341945.89,342347.55,14395.6,A,1,238,194,209
U7A31C5,628,-22046.30999999998,308,320,1346324.75,1324278.4400000004,40000.0,A,2,228,160,240
U85C0E4,625,-12365.009999999966,585,40,388264.9599999999,375899.95,38100.0,A,1,206,197,222
U96F0EA,618,2945.590000000001,491,127,83006.18999999999,85951.78,6582.25,A,1,186,193,239
U34B527,615,10086.590000000013,77,538,1207180.5799999998,1217267.1700000004,10000.0,A,2,69,204,342
U0E37F5,605,4971.859999999997,352,253,338374.74000000005,343346.60000000003,30000.0,A,1,203,185,217
U266F12,604,-4517.470000000023,404,200,865562.6199999999,861045.15,40000.0,A,1,200,205,199
U986B6F,598,-21097.340000000106,524,74,2518022.879999999,2496925.540000001,193230.8,B,1,219,182,197
UF91BBF,598,54.81000000008309,431,167,1375884.7000000002,1375939.5099999998,50000.0,A,1,237,149,212
