user,trd_times,total_count,B_out,C_in,out_count,in_count
U138010,2427,3083.439999999995,10,0,405153.08000000013,408236.5199999999
U11EFB2,908,4480.400000000043,0,0,414456.8699999996,418937.2699999999
U16D15E,907,-460454.40000000014,45,79,4296279.440000001,3835825.0399999996
U4DAD5D,895,-6086.010000000063,0,0,1388184.7300000002,1382098.7199999997
U0B4571,713,7.660000000000537,3,0,123336.92000000006,123344.57999999997
U48EC91,660,5804.959999999977,44,0,657416.9900000001,663221.9500000001
U2E3668,645,231809.48999999987,133,22,16103494.460000012,16335303.950000003
U09600F,570,1485.6400000000199,0,0,1088517.1,1090002.7399999988
U37F876,541,-692296.4900000002,479,4,1765964.5299999998,1073668.04
U17B662,538,206.3500000000049,28,0,43328.63000000001,43534.97999999999
U5293BB,535,6707.519999999935,0,0,53609.69999999965,60317.22
U3626B0,521,5466.3200000000215,55,9,777563.37,783029.6899999998
U3DBE1E,511,78316.11999999997,139,0,711276.75,789592.87
U401650,477,-6707.200000000001,17,0,88076.63000000003,81369.43000000002
U40988F,466,-4490.330000000001,72,0,635814.4199999999,631324.0899999999
U0C797F,449,-194016.83,408,0,493524.25999999995,299507.43
U3F8071,446,-15692.090000000027,41,0,184286.99000000002,168594.9
U23344E,445,10073.48000000004,281,0,1787705.4500000011,1797778.93
U248C34,445,-5439.169999999957,247,0,87389.70000000004,81950.53
U4F6582,431,8798.70999999996,358,0,684884.170000001,693682.8799999999
U114F8B,429,1428.3999999999673,0,0,308908.29000000015,310336.69000000006
U092CF5,425,11586.779999999999,425,0,22044.649999999987,33631.43
U013DA1,419,-47184.199999999946,292,0,879526.2299999999,832342.0299999999
U2F7717,416,-6591.780000000068,208,0,858579.6699999999,851987.8899999999
U33353C,408,-13502.990000000007,339,0,146738.16999999998,133235.18000000002
U072098,408,326.3700000000099,40,0,642388.85,642715.2200000001
U0566E1,404,-651.3400000000483,1,0,1155962.19,1155310.8500000003
U2BFD93,403,5714.44,338,0,49087.42000000004,54801.85999999999
U24EBE5,398,-0.030000000007930794,45,0,232064.26,232064.23
U4D2AEE,390,77129.82000000004,308,0,352372.99,429502.81
U3F4BE9,386,-26843.94999999999,317,0,53991.619999999995,27147.670000000002
U41B715,386,30759.760000000017,236,5,416255.7300000001,447015.49000000005
U082311,383,-376859.3499999993,178,0,20296092.6,19919233.25
U0A8890,372,-11262.60000000001,2,0,576388.45,565125.8499999997
U0BC182,364,-34551.13000000002,92,0,99292.76999999997,64741.64
U2CA687,359,-10177.64,60,0,79008.16000000002,68830.51999999999
U0EC203,358,-3106.2000000000007,8,0,108096.14999999998,104989.95
U546A21,344,-5305.89,18,0,131952.16,126646.26999999999
U0E26E7,344,-40202.630000000005,131,0,301956.7,261754.06999999998
U03B74E,341,2810.749999999997,63,4,186339.77000000005,189150.52000000002
U402FF4,338,-2054.7400000000307,104,0,958313.7300000007,956258.9899999998
U344C67,337,4032.239999999997,45,0,184224.81999999998,188257.06
U0E7449,331,604.2599999999957,58,0,46594.57999999998,47198.840000000004
U40632A,323,-12.079999999973552,23,0,734961.38,734949.2999999998
U20E6FF,322,12934.239999999982,133,28,1492765.1000000003,1505699.34
U2E5B3F,320,6828.109999999997,4,0,71081.08,77909.19000000002
U4E8461,310,6778.5,106,0,193380.12,200158.62
U32948A,310,-7633.460000000083,18,0,454800.2,447166.74
U22C251,308,15812.480000000014,36,0,100159.78,115972.26000000001
U0D52E5,304,-11069.900000000014,30,5,404958.8600000001,393888.96
U496410,304,30.80999999999767,0,0,303010.12999999995,303040.94000000006
