,user,trd_times,total_count,B_out,C_in,out_count,in_count
0,U20440,8671,-19250.880000000037,8146,525,5063044.37,5043793.49
1,U10881,4379,-15735.62999999742,4293,86,599398.270000013,583662.6400000156
2,U42153,3023,50458.280000000144,2498,525,2474831.7300000004,2525290.0100000007
3,U19071,2671,-223398.51000000018,2138,533,7168370.949999999,6944972.4399999995
4,U31428,2239,218.58000000001135,986,1253,4699039.849999999,4699258.429999999
5,U1175333,1891,228.84000000002038,1220,671,1692180.8400000005,1692409.6800000006
6,U19556,1862,0.479999999816755,304,1558,2414665.3600000003,2414665.8400000003
7,U42451,1817,-60537.35000000022,1614,203,1866594.5100000096,1806057.1600000092
8,U20312,1816,-15481.689999999944,1667,149,1316517.5699999945,1301035.8799999945
9,U26506,1741,-43828.799999999814,1419,322,6047631.629999999,6003802.829999999
10,U21425,1719,-503.5099999999936,1714,5,13915.969999999948,13412.459999999955
11,U43309,1714,20949.28000000005,364,1350,3963643.33,3984592.6100000003
12,U31655,1708,38017.13000000005,1313,395,1519880.4800000004,1557897.6100000006
13,U17064,1660,367967.97000000055,1358,302,12815715.38,13183683.350000001
14,U687224,1587,-14167.280000000714,1063,524,215452.78000000003,201285.4999999993
15,U1281200,1510,-761.259999999767,1088,422,1177389.0700000005,1176627.8100000008
16,U27471,1508,-1949416.1599999908,321,1187,172068302.48999998,170118886.32999998
17,U42462,1488,7901.600000000039,1329,159,463385.87000000017,471287.4700000002
18,U24518,1451,5919.4299999997265,420,1031,753730.2299999997,759649.6599999995
19,U43409,1385,5251.540000000101,1169,216,1736528.8499999996,1741780.3899999997
20,U32708,1375,97065.15000000014,1287,88,2781526.6899999995,2878591.84
21,U18250,1355,96353.04000000349,1266,89,622140.8600000136,718493.9000000171
22,U13866,1346,23541.499999675034,608,738,327725935.9299998,327749477.42999953
23,U10249,1321,12001.710000001096,674,647,38406411.5,38418413.21
24,U22595,1315,132038.30999999997,1190,125,809287.5700000009,941325.8800000008
25,U38564,1306,62963.46000000043,1041,265,19503875.740000013,19566839.200000014
26,U32479,1305,-4945.88999999686,409,896,3184096.5300000017,3179150.640000005
27,U711263,1270,600.010000000002,918,352,71465.12999999999,72065.13999999998
28,U581683,1255,1639.0500000000075,704,551,396139.25999999983,397778.3099999998
29,U25890,1251,1045085.8599999996,558,693,1712073.6699999997,2757159.5299999993
30,U707020,1227,-1061.6499999999646,835,392,681557.4000000001,680495.7500000002
31,U892952,1210,-168.73999999999467,718,492,74716.85,74548.11000000002
32,U20566,1209,-1361.7999999998992,394,815,1258403.2699999998,1257041.47
33,U11188,1206,580.9999999999959,945,261,556357.89,556938.89
34,U14256,1200,450995.7000000002,339,861,2199106.5900000003,2650102.2900000005
35,U16529,1172,-46133.209999996994,621,551,60316237.38000001,60270104.17000002
36,U29428,1167,-533508.6400000002,972,195,1504308.5499999984,970799.9099999982
37,U13708,1128,27537.539999999964,1048,80,3628222.819999991,3655760.359999991
38,U23105,1124,249540.92999999985,1037,87,5303694.199999997,5553235.129999997
39,U14417,1098,-24833.900000001555,112,986,2231953.0,2207119.099999998
40,U11398,1090,13796.840000000013,1006,84,791291.6300000001,805088.4700000001
41,U18737,1082,-109451.16999999978,864,218,4235710.24,4126259.0700000003
42,U11014,1081,-4616.00000000002,704,377,1166625.9699999997,1162009.9699999997
43,U38074,1077,428095.53999999876,970,107,5242793.879999995,5670889.419999994
44,U30847,1076,3347790.199999999,386,690,6441200.35,9788990.549999999
45,U21589,1053,17.050000000032014,853,200,1668878.74,1668895.79
46,U17413,1049,-17603.580000000635,662,387,55935419.569999956,55917815.98999996
47,U40999,1046,-7131.59,750,296,964470.7100000001,957339.1200000001
48,U31211,1042,17316.36999999997,1006,36,424783.43000000017,442099.80000000016
49,U637347,1031,-4553.559999999999,627,404,44297.10000000001,39743.540000000015
50,U851605,1022,2915.9499999999825,644,378,1918851.199999999,1921767.149999999
51,U8453,1017,-2421.2499999999995,627,390,570690.1900000008,568268.9400000008
52,U42913,1006,69103.19000000015,400,606,3301851.89,3370955.08
53,U14274,993,-27461.789999999964,946,47,733804.14,706342.3500000001
54,U30810,987,681.7600000000015,667,320,79299.72,79981.48
55,U12931,976,19593.109999999997,381,595,994240.3700000002,1013833.4800000002
56,U8142,974,-2322.250000000117,363,611,1535655.9100000001,1533333.66
57,U29775,972,-131418.09999999998,960,12,255400.53000000003,123982.43000000005
58,U18897,966,15211.870000000023,240,726,759436.9299999996,774648.7999999996
59,U896497,959,456.3899999999993,497,462,29501.38,29957.77
60,U35415,950,-7437.590000000006,730,220,857644.7000000004,850207.1100000005
61,U11287,946,18109.850000000006,681,265,742194.0300000001,760303.8800000001
62,U36900,937,-11875.240000000014,913,24,221565.02000000008,209689.78000000006
63,U38301,930,-2312.0900000000656,640,290,1070383.6700000002,1068071.58
64,U13931,917,-100761.06999999953,560,357,24785132.370000128,24684371.300000127
65,U33213,916,-3053.050000000036,770,146,408712.54999999993,405659.4999999999
66,U43535,916,92376.77999999996,361,555,1899556.5200000005,1991933.3000000005
67,U35377,913,18798.18999999872,414,499,7072771.38,7091569.569999998
68,U10609,911,300.83999999995194,615,296,926788.7900000002,927089.6300000001
69,U20726,908,4480.400000000043,816,92,414456.8699999996,418937.2699999996
70,U622273,908,6131.130000000013,519,389,285102.03,291233.16000000003
71,U31658,878,33942.70000000026,255,623,790554.3199999998,824497.0200000001
72,U12406,875,-303904.02999999933,847,28,697260.9900000019,393356.9600000025
73,U33087,871,3972.6599999999903,681,190,134271.0600000003,138243.7200000003
74,U13145,870,-113.84999999993306,420,450,617183.9099999998,617070.0599999998
75,U872868,868,840.140000000014,513,355,5731656.029999999,5732496.169999999
76,U28293,857,38137.57000000002,727,130,3898199.9899999998,3936337.5599999996
77,U18309,854,-5090.199999999987,465,389,627656.0299999999,622565.83
78,U8825,853,-11807.019999999986,499,354,907833.3100000002,896026.2900000002
79,U1181701,847,3492.4299999999967,498,349,159653.24,163145.66999999998
80,U19172,843,2786.4299999998475,281,562,1416127.0199999998,1418913.4499999997
81,U28151,841,-3960.2900000000436,155,686,1257092.8100000003,1253132.5200000003
82,U22673,839,-100751.48000000001,772,67,836485.0400000007,735733.5600000008
83,U1310524,837,-414.9899999999976,769,68,24900.180000000004,24485.190000000006
84,U753615,835,5041.68000000002,534,301,387852.00999999995,392893.68999999994
85,U983181,826,370.6599999999962,445,381,332334.37,332705.02999999997
86,U1190164,820,6523.389999999949,420,400,759463.7000000001,765987.09
87,U27699,818,119509.54999999989,734,84,2268720.360000001,2388229.9100000006
88,U11237,818,432.7100000000564,293,525,589098.06,589530.7700000001
89,U32142,815,10056.879999999983,418,397,2828679.4299999997,2838736.3099999996
90,U1132232,815,-3.900000000004269,473,342,71226.24,71222.34
91,U32466,813,2790.609999999966,346,467,2153349.21,2156139.82
92,U1374634,808,-2689.729999999999,483,325,75849.45999999999,73159.73
93,U22134,806,116697.89999999997,550,256,1771406.63,1888104.5299999998
94,U9765,805,1050.9300000000019,490,315,402537.2700000001,403588.20000000007
95,U1274194,801,3812.8099999999763,406,395,1254001.4599999997,1257814.2699999998
96,U9075,796,9115.18000000008,550,246,3691433.380000001,3700548.560000001
97,U12544,796,256690.7199999997,762,34,1916629.1000000003,2173319.82
98,U20011,772,60408.1400000001,548,224,775724.4099999998,836132.5499999999
99,U38866,772,44165.66000000006,430,342,4821194.79,4865360.45
100,U24192,771,126201.49999999997,306,465,4326468.73,4452670.23
101,U14702,769,986.2300000000328,389,380,1970579.7899999996,1971566.0199999996
102,U1187613,769,5302.480000000004,418,351,635067.2699999999,640369.7499999999
103,U8734,767,-923063.5499999998,534,233,4181503.360000001,3258439.810000001
104,U31361,766,5676.770000000085,635,131,331645.2500000008,337322.0200000009
105,U37795,760,12504.060000000229,464,296,3237096.2699999996,3249600.3299999996
106,U24038,759,-3.819999996642764,462,297,15745786.959999997,15745783.14
107,U13121,758,1668052.6199999996,315,443,2795769.190000001,4463821.8100000005
108,U11225,757,32850.52999999994,338,419,5912506.979999999,5945357.509999999
109,U11123,756,-81572.68,670,86,404547.00999999983,322974.32999999984
110,U40183,756,383223.32999999984,196,560,1118931.9100000001,1502155.24
111,U43259,753,-1449.8300000000381,384,369,1927096.8299999998,1925646.9999999998
112,U10637,741,-26690.33000000002,727,14,114711.10999999984,88020.77999999982
113,U34767,740,-71240.27,686,54,439074.89000000013,367834.6200000001
114,U17533,735,21492.490000000536,401,334,7079288.900000001,7100781.3900000015
115,U40301,733,-166545.03999999998,523,210,3386749.8800000004,3220204.8400000003
116,U16398,732,9680.809999999983,609,123,898551.5600000009,908232.3700000008
117,U37015,728,259066.6999999999,425,303,9560513.540000003,9819580.240000002
118,U17167,726,-44767.920000000144,525,201,2344266.0399999856,2299498.1199999857
119,U17807,725,-10483.00000000001,477,248,1043877.4100000001,1033394.4100000001
120,U10569,721,-34303.65000000003,676,45,687311.3899999999,653007.7399999999
121,U10541,720,19439.12999999996,541,179,3361467.1199999996,3380906.2499999995
122,U984620,720,-1259.7900000000009,428,292,492465.92,491206.13
123,U30505,718,3461.6899999999987,440,278,418829.12,422290.81
124,U16376,715,-3064.3299999999776,352,363,1069497.4900000002,1066433.1600000001
125,U40386,713,32819.58000000035,137,576,1603309.2699999998,1636128.85
126,U10719,712,-6352.90000000002,515,197,902194.1000000004,895841.2000000004
127,U979139,711,2735.3400000000056,413,298,213312.56000000003,216047.90000000002
128,U27703,710,3253.0899999999892,171,539,449221.50000000006,452474.59
129,U15462,710,771923.4200000002,257,453,457319.3500000001,1229242.7700000003
130,U14744,709,110449.51999999997,622,87,3050641.690000002,3161091.210000002
131,U23003,708,-9486.850000000071,394,314,3717232.24,3707745.39
