user,trd_times,total_count,B_out,C_in,out_count,in_count
UBD9C48,5836,2173.690000000078,5693,143,962039.7700000006,964213.46
U8AE05B,2589,-19.03999999986081,1232,1357,3354162.49,3354143.4500000007
U0015B2,2490,-13241.210000000041,1535,955,1966131.7300000002,1952890.520000002
U9E0C0D,2392,4145.880000000038,1117,1275,3940858.6100000003,3945004.4900000016
U7EF7EC,2237,-1990.9900000000284,2063,174,342173.6300000002,340182.64000000013
UFAA278,2230,1937.85999999946,2082,148,199587.6199999978,201525.47999999984
U6A0213,2214,-314.8300000000745,2056,158,3228379.9,3228065.0700000003
UA4826C,2124,14680.94999999968,1064,1060,3223304.4,3237985.3500000015
UB00ED6,1774,-0.6799999999275315,166,1608,1964195.0699999998,1964194.39
UDC645C,1483,-49535.32000000008,1279,204,2387598.31,2338062.9899999998
UF928E7,1436,2669.6699999999983,1102,334,108744.54,111414.20999999998
UA61CDE,1290,-40113.47999999993,484,806,38514018.84000001,38473905.35999998
UCA37FC,1281,-38526.98000000141,1093,188,2247169.0299999714,2208642.0500000003
UFC5A9E,1278,-298.6999999999877,877,401,268272.67000000016,267973.96999999986
UD81BAF,1254,1425.6499999999942,996,258,1246544.54,1247970.1900000002
U2C29AB,1233,90.70000000000002,844,389,55036.819999999985,55127.520000000186
U6F9FC3,1229,-191825.12,1208,21,986143.2699999998,794318.15
U8003E5,1204,30992.43000000014,912,292,1342548.2800000007,1373540.71
U36764F,1119,34465.12000000012,667,452,1307329.9300000016,1341795.0500000005
U2CAF13,1056,-26961.79999999998,609,447,5538953.619999998,5511991.82
U5E965A,1046,22508.750000000735,332,714,6970409.109999999,6992917.859999998
U777D63,1001,-573.6800000001058,316,685,2051772.1099999996,2051198.43
UC466B9,970,-4909.839999999994,477,493,363432.17000000004,358522.33000000025
U48FD8D,940,-232.65999999999622,464,476,145032.67,144800.01
U80FB6E,915,59836.29999999999,776,139,2842512.9599999995,2902349.2600000002
U467232,911,84.90999999996757,489,422,803554.3599999999,803639.2700000005
U781BBD,852,1125.7299999999395,710,142,1801424.07,1802549.8000000007
UF9D520,835,-341.8100000000213,455,380,796528.8999999999,796187.0899999997
UDDA890,830,-30154.37999999996,157,673,722243.39,692089.0100000001
U450AB6,820,27885.70000000001,712,108,1479621.2899999998,1507506.9899999998
U9E6593,806,-1696.4100000000126,780,26,865513.2100000001,863816.8000000002
UB99765,790,208.24000000000092,548,242,86739.71000000002,86947.94999999994
U975927,780,-33362.860000000146,500,280,1604301.5000000002,1570938.6400000001
U3C95E8,775,-4847.0299999999115,521,254,10586277.649999999,10581430.620000001
U0E46DF,760,25940.280000000028,617,143,2511915.75,2537856.03
UE86177,759,-17241.310000000234,240,519,693982.0400000004,676740.7299999982
U9E2913,755,14232.300000000003,725,30,223705.72999999998,237938.03
U6A8665,754,-140.0000000000589,526,228,1511725.9499999986,1511585.9499999997
U4AF6E0,743,4131.630000000019,574,169,1392729.8299999991,1396861.4600000007
UF69426,730,-273.7499999999957,446,284,83238.42,82964.67000000004
U2F0C0E,724,-44782.009999999995,454,270,1750103.54,1705321.5299999998
U0F0DB9,707,2127.769999999997,270,437,1014714.8199999998,1016842.5899999997
U8A63AF,707,-1820.480000000015,539,168,1240998.7300000011,1239178.2500000002
U2F6483,703,-14059.429999999948,451,252,1849053.5399999998,1834994.11
U82A7C9,694,7837.620000000038,374,320,1293186.63,1301024.25
U74D259,690,26628.38999999998,494,196,245439.77999999985,272068.17
UABB75C,688,41553.23999999995,379,309,1141181.8799999997,1182735.1199999996
U31CB74,678,97439.79000000015,477,201,2649756.16,2747195.9499999997
U63A95C,676,-8244.040000000008,615,61,73393.0100000001,65148.97
UE76E4E,659,2433909.0400000014,181,478,4627824.970000001,7061734.0100000035
UF68F85,643,3198.070000000024,109,534,47461.24999999999,50659.31999999991
U2756ED,641,401.6600000000028,389,252,341945.88999999996,342347.55
U7A31C5,628,-22046.30999999998,308,320,1346324.75,1324278.4400000004
U85C0E4,625,-12365.009999999966,585,40,388264.9599999999,375899.94999999995
U96F0EA,618,2945.590000000001,491,127,83006.18999999999,85951.78
U34B527,615,10086.590000000011,77,538,1207180.5799999998,1217267.1700000004
U0E37F5,605,4971.859999999997,352,253,338374.74000000005,343346.60000000003
U266F12,604,-4517.470000000023,404,200,865562.6199999999,861045.15
U986B6F,598,-21097.340000000106,524,74,2518022.879999999,2496925.540000001
UF91BBF,598,54.81000000008309,431,167,1375884.7000000002,1375939.5099999998
U1F0543,595,678691.8599999992,288,307,1036269.3700000009,1714961.2299999997
UC64EB9,593,-3068.910000000009,472,121,1441256.2600000007,1438187.35
UEF6C20,592,88.17999999999995,330,262,18613.58,18701.760000000006
UFE92A2,589,2189.8100000000104,330,259,301088.67,303278.47999999986
U7EABCA,587,40861.77000000013,526,61,5181587.87,5222449.64
U29B92F,582,-10480.610000000026,400,182,389367.2599999998,378886.65
UACA00B,580,5718.800000000026,258,322,808271.4299999998,813990.2299999994
U107C9F,575,720.199999999996,538,37,42137.560000000034,42857.76
U5B2FBF,573,50441.89000000001,269,304,1402023.5100000002,1452465.4000000001
UEBD77E,573,-2519.030000000193,231,342,1330548.8,1328029.7700000003
UB800CA,565,-5020.270000000006,305,260,434931.6700000001,429911.40000000014
UB7F9F3,563,260.6100000000142,358,205,948883.31,949143.92
U4F50E1,559,23425.280000000028,541,18,175952.86,199378.14
U89BC09,550,-3674.320000000007,526,24,271224.76999999996,267550.45
UEEE8DC,547,-8948.080000000005,349,198,355539.05000000005,346590.97000000015
U9828D0,541,1010.7199999999903,295,246,297443.86,298454.5799999999
UDE0FDE,538,4342.029999999999,477,61,196522.32,200864.35
U0F284E,533,-1480.4500000000019,461,72,47002.37,45521.92
U9CFA30,530,4193.419999999944,404,126,999469.3200000002,1003662.74
UCD0DCD,529,-12846.41999999998,369,160,625338.11,612491.69
UE809C2,523,681.7999999999865,332,191,263941.25999999983,264623.05999999994
U21DE75,523,10002.62000000002,321,202,666475.8600000003,676478.4799999995
UE3505A,523,10624.17000000016,295,228,1739998.4,1750622.5699999994
U717425,523,8867.350000000053,473,50,764917.4300000003,773784.7799999999
UFB70C2,522,-114666.47999999992,126,396,908497.4,793830.9199999985
U759047,521,-30179.699999999993,499,22,78012.67,47832.97
U327D23,520,-42824.11999999998,512,8,51082.31999999998,8258.2
UBC74E6,507,15585.360000000006,303,204,169236.66000000003,184822.0199999999
UE236BD,504,-3949.989999999999,465,39,61988.850000000006,58038.86000000001
U10A437,503,-364.3999999999978,412,91,70724.70000000001,70360.30000000003
UC2D7D4,501,-1640.1499999999953,393,108,48878.77,47238.61999999998
UB16DDD,501,-1049.5,401,100,331525.60999999987,330476.1099999999
UD46124,501,-195837.92000000022,371,130,1039269.61,843431.6900000001
U99F265,499,-2103.9300000000085,465,34,11276.669999999978,9172.739999999996
U941178,498,15056.13,459,39,336214.7699999999,351270.89999999997
U973393,496,-221548.3899999999,479,17,322677.4799999998,101129.09
U3F8E12,496,5020.77,465,31,44856.84999999998,49877.619999999995
U3C5E15,493,635.1699999999951,362,131,97918.47,98553.63999999996
UE0D243,489,-1246.2499999999984,392,97,28238.100000000017,26991.85
U13F838,489,3141.830000000009,338,151,350979.98,354121.81
UDE0C8A,488,11460.949999999992,371,117,550104.4400000001,561565.39
U055341,488,-8438.120000000014,351,137,369325.6000000001,360887.48
U7C293C,486,-4851.389999999999,467,19,60255.290000000045,55403.90000000001
U928AE0,486,-790037.1199999998,383,103,3222391.4600000014,2432354.3400000003
U864B8A,485,-2983.1500000006636,461,24,400567.5900000004,397584.44
U6DDAAC,483,-51875.95000000005,286,197,1503594.4400000002,1451718.4900000005
UB222C4,482,-831.6100000000115,402,80,394947.59,394115.9800000002
UF2EED9,482,-59.62999999999853,335,147,52167.53,52107.90000000001
UEAEE3F,482,10390.890000000083,402,80,1772735.78,1783126.67
U227B75,479,-892.9500000000021,420,59,173887.05,172994.1
U3453FB,478,1364.5200000003315,284,194,2260656.75,2262021.2699999986
U91F980,478,-10762.840000000006,229,249,40167.119999999995,29404.27999999998
U00297F,478,-1742.319999999985,233,245,771199.7400000002,769457.4200000004
U4F5D45,478,-3866.659999999991,423,55,60695.840000000004,56829.180000000015
