,user,trd_times,total_count,B_out,C_in,out_count,in_count
0,UBD9C48,5836,2173.690000000078,5693,143,962039.7700000006,964213.46
1,U8AE05B,2589,-19.03999999986081,1232,1357,3354162.49,3354143.4500000007
2,U0015B2,2490,-13241.210000000041,1535,955,1966131.7300000002,1952890.520000002
3,U9E0C0D,2392,4145.880000000038,1117,1275,3940858.6100000003,3945004.4900000016
4,U7EF7EC,2237,-1990.9900000000284,2063,174,342173.6300000002,340182.64000000013
5,UFAA278,2230,1937.85999999946,2082,148,199587.6199999978,201525.47999999984
6,U6A0213,2214,-314.8300000000745,2056,158,3228379.9,3228065.0700000003
7,UA4826C,2124,14680.94999999968,1064,1060,3223304.4,3237985.3500000015
8,UB00ED6,1774,-0.6799999999275315,166,1608,1964195.0699999998,1964194.39
9,UDC645C,1483,-49535.32000000008,1279,204,2387598.31,2338062.9899999998
10,UF928E7,1436,2669.6699999999983,1102,334,108744.54,111414.20999999998
11,UA61CDE,1290,-40113.47999999993,484,806,38514018.84000001,38473905.35999998
12,UCA37FC,1281,-38526.98000000141,1093,188,2247169.0299999714,2208642.0500000003
13,UFC5A9E,1278,-298.6999999999877,877,401,268272.67000000016,267973.96999999986
14,UD81BAF,1254,1425.6499999999942,996,258,1246544.54,1247970.1900000002
15,U2C29AB,1233,90.70000000000002,844,389,55036.819999999985,55127.520000000186
16,U6F9FC3,1229,-191825.12,1208,21,986143.2699999998,794318.15
17,U8003E5,1204,30992.43000000014,912,292,1342548.2800000007,1373540.71
18,U36764F,1119,34465.12000000012,667,452,1307329.9300000016,1341795.0500000005
19,U2CAF13,1056,-26961.79999999998,609,447,5538953.619999998,5511991.82
20,U5E965A,1046,22508.750000000735,332,714,6970409.109999999,6992917.859999998
21,U777D63,1001,-573.6800000001058,316,685,2051772.1099999996,2051198.43
22,UC466B9,970,-4909.839999999994,477,493,363432.17000000004,358522.33000000025
23,U48FD8D,940,-232.65999999999622,464,476,145032.67,144800.01
24,U80FB6E,915,59836.29999999999,776,139,2842512.9599999995,2902349.2600000002
25,U467232,911,84.90999999996757,489,422,803554.3599999999,803639.2700000005
26,U781BBD,852,1125.7299999999395,710,142,1801424.07,1802549.8000000007
27,UF9D520,835,-341.8100000000213,455,380,796528.8999999999,796187.0899999997
28,UDDA890,830,-30154.37999999996,157,673,722243.39,692089.0100000001
29,U450AB6,820,27885.70000000001,712,108,1479621.2899999998,1507506.9899999998
30,U9E6593,806,-1696.4100000000126,780,26,865513.2100000001,863816.8000000002
31,UB99765,790,208.24000000000092,548,242,86739.71000000002,86947.94999999994
32,U975927,780,-33362.860000000146,500,280,1604301.5000000002,1570938.6400000001
33,U3C95E8,775,-4847.0299999999115,521,254,10586277.649999999,10581430.620000001
34,U0E46DF,760,25940.280000000028,617,143,2511915.75,2537856.03
35,UE86177,759,-17241.310000000234,240,519,693982.0400000004,676740.7299999982
36,U9E2913,755,14232.300000000003,725,30,223705.72999999998,237938.03
37,U6A8665,754,-140.0000000000589,526,228,1511725.9499999986,1511585.9499999997
38,U4AF6E0,743,4131.630000000019,574,169,1392729.8299999991,1396861.4600000007
39,UF69426,730,-273.7499999999957,446,284,83238.42,82964.67000000004
40,U2F0C0E,724,-44782.009999999995,454,270,1750103.54,1705321.5299999998
41,U0F0DB9,707,2127.769999999997,270,437,1014714.8199999998,1016842.5899999997
42,U8A63AF,707,-1820.480000000015,539,168,1240998.7300000011,1239178.2500000002
43,U2F6483,703,-14059.429999999948,451,252,1849053.5399999998,1834994.11
44,U82A7C9,694,7837.620000000038,374,320,1293186.63,1301024.25
45,U74D259,690,26628.38999999998,494,196,245439.77999999985,272068.17
46,UABB75C,688,41553.23999999995,379,309,1141181.8799999997,1182735.1199999996
